Year,Anomaly
1850,-0.04
1851,-0.06
1852,0.01
1853,-0.1
1854,0.04
1855,-0.11
1856,-0.12
1857,0.02
1858,-0.21
1859,0.13
1860,-0.46
1861,-0.24
1862,-0.46
1863,-0.2
1864,-0.28
1865,-0.06
1866,-0.01
1867,-0.2
1868,-0.06
1869,-0.06
1870,-0.35
1871,-0.19
1872,-0.31
1873,-0.21
1874,-0.09
1875,-0.46
1876,-0.25
1877,0.15
1878,-0.02
1879,-0.32
1880,-0.12
1881,0
1882,-0.27
1883,-0.23
1884,-0.09
1885,-0.06
1886,-0.2
1887,-0.35
1888,0.04
1889,-0.25
1890,-0.33
1891,-0.14
1892,-0.31
1893,-0.4
1894,-0.23
1895,-0.2
1896,-0.04
1897,-0.07
1898,-0.26
1899,-0.02
1900,-0.01
1901,-0.1
1902,-0.34
1903,-0.54
1904,-0.27
1905,-0.21
1906,-0.07
1907,-0.41
1908,-0.43
1909,-0.42
1910,-0.55
1911,-0.17
1912,-0.34
1913,-0.03
1914,-0.01
1915,-0.24
1916,-0.74
1917,-0.55
1918,-0.22
1919,-0.33
1920,-0.36
1921,-0.14
1922,-0.12
1923,-0.03
1924,-0.33
1925,0.04
1926,-0.24
1927,-0.27
1928,-0.11
1929,-0.45
1930,0.02
1931,-0.03
1932,-0.19
1933,-0.33
1934,-0.02
1935,-0.08
1936,0.01
1937,-0.04
1938,-0.08
1939,0.47
1940,0.36
1941,0.3
1942,0.07
1943,0.22
1944,0.18
1945,0
1946,-0.19
1947,-0.11
1948,-0.21
1949,-0.11
1950,-0.21
1951,0.18
1952,0.03
1953,0.06
1954,-0.12
1955,-0.27
1956,-0.02
1957,0.11
1958,0.09
1959,0.02
1960,0.23
1961,-0.12
1962,0.02
1963,0.04
1964,-0.24
1965,-0.03
1966,-0.02
1967,0.01
1968,-0.11
1969,0.29
1970,-0.09
1971,-0.06
1972,0.24
1973,0
1974,-0.09
1975,-0.12
1976,0.16
1977,0.1
1978,0.12
1979,0.51
1980,0.24
1981,0.45
1982,0.44
1983,0.24
1984,0.02
1985,0.19
1986,0.21
1987,0.45
1988,0.29
1989,0.41
1990,0.42
1991,0.3
1992,0.2
1993,0.2
1994,0.38
1995,0.3
1996,0.36
1997,0.58
1998,0.58
1999,0.47
2000,0.29
2001,0.62
2002,0.51
2003,0.73
2004,0.54
2005,0.72
2006,0.78
2007,0.49
2008,0.59
2009,0.71
2010,0.51
2011,0.58
2012,0.53
2013,0.7
2014,0.8
2015,1.12
2016,0.9
2017,0.96
2018,0.94
2019,1.12
2020,0.83
2021,0.9
2022,0.82
2023,1.39
2024,1.26
