Entity,Code,Year,Other renewables excluding bioenergy - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from bioenergy - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from solar - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from wind - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from hydro - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from nuclear - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from oil - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from gas - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from coal - TWh (adapted for visualization of chart electricity-prod-source-stacked),Other renewables excluding bioenergy - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from bioenergy - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from solar - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from wind - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from hydro - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from nuclear - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from oil - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from gas - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from coal - TWh (adapted for visualization of chart electricity-prod-source-stacked)
World,OWID_WRL,1985,0,0,0.011747475,0.064220205,1979.2437,1488.9216,1110.7574,1426.3318,3748.3848,0,0,0.011747475,0.064220205,1979.2437,1488.9216,1110.7574,1426.3318,3748.3848
World,OWID_WRL,1986,0,0,0.015183838,0.13883132,2006.073,1594.7357,1168.2734,1432.6915,3839.0095,0,0,0.015183838,0.13883132,2006.073,1594.7357,1168.2734,1432.6915,3839.0095
World,OWID_WRL,1987,0,0,0.01060303,0.19537677,2033.1924,1734.7332,1183.1753,1516.5096,4058.0767,0,0,0.01060303,0.19537677,2033.1924,1734.7332,1183.1753,1516.5096,4058.0767
World,OWID_WRL,1988,0,0,0.01019596,0.3315798,2098.3489,1891.2493,1256.5248,1540.98,4200.6743,0,0,0.01019596,0.3315798,2098.3489,1891.2493,1256.5248,1540.98,4200.6743
World,OWID_WRL,1989,0,0,0.26222324,2.6497767,2087.587,1945.0106,1350.2001,1728.5537,4376.982,0,0,0.26222324,2.6497767,2087.587,1945.0106,1350.2001,1728.5537,4376.982
World,OWID_WRL,1990,0,0,0.38834995,3.6324706,2158.619,2000.596,1366.0226,1788.729,4460.2417,0,0,0.38834995,3.6324706,2158.619,2000.596,1366.0226,1788.729,4460.2417
World,OWID_WRL,1991,0,0,0.5053229,4.086107,2208.5417,2096.3098,1351.3785,1814.1472,4557.0664,0,0,0.5053229,4.086107,2208.5417,2096.3098,1351.3785,1814.1472,4557.0664
World,OWID_WRL,1992,0,0,0.4666791,4.732812,2208.314,2112.223,1329.6443,1828.4287,4649.81,0,0,0.4666791,4.732812,2208.314,2112.223,1329.6443,1828.4287,4649.81
World,OWID_WRL,1993,0,0,0.5566775,5.704169,2341.3193,2184.9646,1268.4802,1862.4312,4727.7744,0,0,0.5566775,5.704169,2341.3193,2184.9646,1268.4802,1862.4312,4727.7744
World,OWID_WRL,1994,0,0,0.5969829,7.13173,2355.9048,2225.9788,1303.7145,1923.7323,4891.716,0,0,0.5969829,7.13173,2355.9048,2225.9788,1303.7145,1923.7323,4891.716
