Year,Max Size Date,Max Size (million km²),Min Ozone Date,Min Ozone (DU)
1979,17 September,1.1,17 September,194
1980,21 September,3.3,16 October,192
1981,10 October,3.1,10 October,195
1982,02 October,10.8,02 November,170
1983,17 October,12.2,06 October,154
1984,24 September,14.7,03 October,144
1985,03 October,18.8,24 October,124
1986,06 October,14.4,06 October,140
1987,29 September,22.5,05 October,109
1988,20 September,13.8,30 September,162
1989,03 October,21.7,07 October,108
1990,19 September,21.1,05 October,111
1991,04 October,22.6,06 October,94
1992,27 September,24.9,11 October,105
1993,19 September,25.8,25 September,104
1994,30 September,25.2,30 September,73
1996,07 September,26.9,05 October,103
1997,27 September,25.1,24 September,99
1998,19 September,27.9,06 October,86
1999,15 September,25.8,29 September,97
2000,09 September,29.9,29 September,89
2001,17 September,26.5,22 September,91
2002,19 September,21.9,20 September,131
2003,24 September,28.4,26 September,91
2004,22 September,22.8,04 October,102
2005,11 September,27.2,30 September,103
2006,24 September,29.6,08 October,84
2007,13 September,25.2,24 September,108
2008,12 September,27.0,04 October,101
2009,17 September,24.4,26 September,97
2010,25 September,22.6,01 October,119
2011,12 September,26.1,08 October,95
2012,22 September,21.1,01 October,124
2013,16 September,24.0,29 September,116
2014,11 September,24.1,30 September,114
2015,02 October,28.2,04 October,101
2016,28 September,22.8,01 October,111
2017,11 September,19.6,09 October,131
2018,20 September,24.8,11 October,102
2019,08 September,16.4,02 September,142
2020,20 September,24.8,06 October,94
2021,07 October,24.8,07 October,92
2022,05 October,26.5,01 October,97
2023,21 September,26.0,03 October,99
2024,28 September,22.4,05 October,107
