"","Entity","Code","Year","Other.renewables.excluding.bioenergy...TWh..adapted.for.visualization.of.chart.electricity.prod.source.stacked.","Electricity.from.bioenergy...TWh..adapted.for.visualization.of.chart.electricity.prod.source.stacked.","Electricity.from.solar...TWh..adapted.for.visualization.of.chart.electricity.prod.source.stacked.","Electricity.from.wind...TWh..adapted.for.visualization.of.chart.electricity.prod.source.stacked.","Electricity.from.hydro...TWh..adapted.for.visualization.of.chart.electricity.prod.source.stacked.","Electricity.from.nuclear...TWh..adapted.for.visualization.of.chart.electricity.prod.source.stacked.","Electricity.from.oil...TWh..adapted.for.visualization.of.chart.electricity.prod.source.stacked.","Electricity.from.gas...TWh..adapted.for.visualization.of.chart.electricity.prod.source.stacked.","Electricity.from.coal...TWh..adapted.for.visualization.of.chart.electricity.prod.source.stacked."
"1","Africa","",1985,0,0,0,0,49.449684,5.315,34.29558,27.9265,139.51434
"2","Africa","",1986,0,0,0,0,51.14537,8.803,37.18415,28.348999,142.07826
"3","Africa","",1987,0,0,0,0,49.05646,6.167,38.68359,31.584,152.22748
"4","Africa","",1988,0,0,0,0,53.593452,10.493,42.612885,34.0095,152.44873
"5","Africa","",1989,0,0,0,0,56.27621,11.099,43.337883,36.939003,157.21063
"6","Africa","",1990,0,0,0,0,57.254658,8.449,42.950825,42.646,164.67352
"7","Africa","",1991,0,0,0,0,60.65149,9.144,42.02842,45.6115,164.78598
"8","Africa","",1992,0,0,0,0,57.86029,9.288,42.57579,50.544502,165.42041
"9","Africa","",1993,0,0,0,0.002,56.682507,7.255,41.756973,55.1335,175.95685
"10","Africa","",1994,0,0,0,0.0054,57.59605,9.697,39.784073,62.1015,179.79367
"11","Africa","",1995,0,0,0,0.0063,59.75028,11.301,36.13778,66.313995,186.88583
"12","Africa","",1996,0,0,0,0.0071,62.29786,11.775,37.295067,69.9915,197.29121
"13","Africa","",1997,0,0,0,0.0072,63.831898,12.647,38.503864,75.8445,206.04503
"14","Africa","",1998,0,0,0,0.0076,66.654884,13.601,43.03158,77.3305,201.69763
"15","Africa","",1999,0,0,0,0.0198,70.68426,12.837,44.874702,86.0905,199.79572
"16","Africa","",2000,0.43,2.04,0.01,0.16999999,74.85,13.01,47.2,91.85,211.52
"17","Africa","",2001,0.48,2.1,0.01,0.42000002,80.3,10.72,47.73,100.98,216.71999
"18","Africa","",2002,0.39,2.58,0.01,0.44,84.6,11.99,46.96,115.96,224.76001
"19","Africa","",2003,0.79,2.53,0.01,0.53,82.01,12.66,48.85,124,237.76
"20","Africa","",2004,1.03,2.6599998,0.02,0.76,86.54,13.37,46.04,141.06,248.66
"21","Africa","",2005,1,2.66,0.02,0.78,89.49,11.29,52.78,151.33,251.4
"22","Africa","",2006,1.01,3.47,0.03,0.85,92.62,10.03,56.02,164.28,258.49
"23","Africa","",2007,1.02,2.8899999,0.03,1.01,95.55,11.32,58.7,174.67,265.04
"24","Africa","",2008,1.1899999,3.02,0.04,1.3100001,96.94,13,62.179996,184.14,259.87
"25","Africa","",2009,1.36,2.92,0.07,1.5999999,100.65,12.81,66.799995,188.20999,250.16
"26","Africa","",2010,1.47,3,0.22,2.28,109.27,13.53,64.06,218.9,259.65997
"27","Africa","",2011,1.51,2.72,0.57,2.41,112.1,12.9,56.89,236.84,262.77002
"28","Africa","",2012,1.59,2.8899999,0.95,2.59,114.57,12.97,68.49,263.81,257.77
"29","Africa","",2013,1.91,3.05,0.75,3.8300002,118.22,14.11,78.04,267.72,253.6
"30","Africa","",2014,3.21,2.95,1.8500001,5.17,124.299995,13.79,84.31,277.42,255.18
"31","Africa","",2015,4.48,3.1399999,3.6,8.98,122.39,12.24,91.89,289.11,254.69
"32","Africa","",2016,4.69,3.44,4.98,11.21,120.82,15.03,80.26,309.09,256.68
"33","Africa","",2017,4.76,3.54,7.08,13.44,126.4,14.19,74.590004,324.69998,257.12
"34","Africa","",2018,5.13,3.4,8.57,15.2,135.68,11.58,63.37,342.66998,264.7
"35","Africa","",2019,5.24,3.45,11.3,19.28,140.22,13.25,53.7,358.49,263.83
"36","Africa","",2020,5.06,2.84,15.33,19.35,148.89,9.9,46.74,355.59,251.67
"37","Africa","",2021,5.04,2.86,17.98,22.8,150.8,12.35,54.6,375.13998,248.31
"38","Africa","",2022,5.52,2.8,21.08,24.289999,151.62,10.1,65.13,360.06,240.42001
