"","Entity","Code","Year","Other.renewables.excluding.bioenergy...TWh..adapted.for.visualization.of.chart.electricity.prod.source.stacked.","Electricity.from.bioenergy...TWh..adapted.for.visualization.of.chart.electricity.prod.source.stacked.","Electricity.from.solar...TWh..adapted.for.visualization.of.chart.electricity.prod.source.stacked.","Electricity.from.wind...TWh..adapted.for.visualization.of.chart.electricity.prod.source.stacked.","Electricity.from.hydro...TWh..adapted.for.visualization.of.chart.electricity.prod.source.stacked.","Electricity.from.nuclear...TWh..adapted.for.visualization.of.chart.electricity.prod.source.stacked.","Electricity.from.oil...TWh..adapted.for.visualization.of.chart.electricity.prod.source.stacked.","Electricity.from.gas...TWh..adapted.for.visualization.of.chart.electricity.prod.source.stacked.","Electricity.from.coal...TWh..adapted.for.visualization.of.chart.electricity.prod.source.stacked."
"1","Europe","",2000,7.24,34.54,0.06,22.25,737.25,1179.51,283.42,907.44,1182.67
"2","Europe","",2001,7.2200007,36.99,0.17999999,26.75,752.16,1218.8999,281.21,931.05,1183.13
"3","Europe","",2002,7.39,42.51,0.29,36.42,681.13,1237.04,289.69998,974.07,1200.65
"4","Europe","",2003,8.05,50.25,0.42000002,44.85,640.67,1255.11,273.99,1041.51,1254.87
"5","Europe","",2004,8.23,61.149998,0.7,59.77,689.62,1267.15,248.1,1112.71,1214.98
"6","Europe","",2005,8.34,71.1,1.5099999,71.55,698.1,1259.25,246.28,1176.56,1200.25
"7","Europe","",2006,9.620001,80.270004,2.55,83.65,684.07,1264.37,242.33,1197.87,1251.25
"8","Europe","",2007,10.71,89.200005,3.8700001,106.18,696.86,1215.79,216.44,1288.31,1249.27
"9","Europe","",2008,11.15,99.24,7.57,121.35,716.11,1217.84,204.59,1342.78,1196.82
"10","Europe","",2009,11.42,109.25,14.29,134.89,720.05,1168.21,187.67,1247.83,1083.05
"11","Europe","",2010,11.240001,125.259995,23.6,151.08,754.38,1202.51,178.14,1345.06,1089.54
"12","Europe","",2011,11.84,133.86,48.11,182.76,673.13,1196.65,187.01,1285.46,1124.4199
"13","Europe","",2012,12.37,149.23999,72.48,209.27,725.27997,1175.47,183.03,1164.3099,1183.04
"14","Europe","",2013,12.719999,158.96,86.86,240.5,776.83,1158.5499,153.41,1091.92,1152.54
"15","Europe","",2014,13.13,168.58,99.11,258.01,769.83,1173.03,154.41,1046.11,1065.85
"16","Europe","",2015,13.2,180.27,109.72,307.52002,731,1163.22,157.3,1076.9501,1044.8
"17","Europe","",2016,13.47,182.82,113.270004,307.57,763.13,1138.39,160.65,1181.71,971.81
"18","Europe","",2017,13.57,187.56999,121.84,366.49,705.85,1138.84,153.6,1226.3401,934.17
"19","Europe","",2018,14.320001,192.51,130.37,383.65,769.23,1141.49,148.04,1201.9099,885.66003
"20","Europe","",2019,14.43,199.55,143.34,440.89,728.99,1139.93,137.63,1273.8401,738.52
"21","Europe","",2020,14.37,205.45001,167.93,489.68,789.99,1050.26,125.119995,1195.79,622.02
"22","Europe","",2021,13.940001,215.14,187.23,472.23,805.46,1111.35,129.69,1242.41,688.76
"23","Europe","",2022,13.96,203.94,236.13,524.21,688.67,971.38,135.13,1241.1,716.96
