"","Entity","Code","Year","Other.renewables.excluding.bioenergy...TWh..adapted.for.visualization.of.chart.electricity.prod.source.stacked.","Electricity.from.bioenergy...TWh..adapted.for.visualization.of.chart.electricity.prod.source.stacked.","Electricity.from.solar...TWh..adapted.for.visualization.of.chart.electricity.prod.source.stacked.","Electricity.from.wind...TWh..adapted.for.visualization.of.chart.electricity.prod.source.stacked.","Electricity.from.hydro...TWh..adapted.for.visualization.of.chart.electricity.prod.source.stacked.","Electricity.from.nuclear...TWh..adapted.for.visualization.of.chart.electricity.prod.source.stacked.","Electricity.from.oil...TWh..adapted.for.visualization.of.chart.electricity.prod.source.stacked.","Electricity.from.gas...TWh..adapted.for.visualization.of.chart.electricity.prod.source.stacked.","Electricity.from.coal...TWh..adapted.for.visualization.of.chart.electricity.prod.source.stacked."
"1","North America","",2000,16.21,78.5,0.52,6.06,676.72,834.4,294.4,699.64,2102.84
"2","North America","",2001,17.28,67.979996,0.57,7.2999997,583.14996,853.72003,314.21,742.98,2040.61
"3","North America","",2002,18.689999,72.11,0.58,11.070001,645.72,864.81,270.87,809.3,2072.83
"4","North America","",2003,19.300001,71.92,0.55999994,12.24,640.15,848.6,298.39,781.32,2119.77
"5","North America","",2004,19.66,73.090004,0.59999996,15.42,641.89,887.48004,294.27,854.87,2107.86
"6","North America","",2005,19.38,73.91,0.58,19.67,673.23,884.19,294.58,897.52,2154.3599
"7","North America","",2006,19.45,73.630005,0.53999996,29.460001,686.58997,895.37,213.48,987.41,2125.15
"8","North America","",2007,19.94,75.54,0.65000004,38.04,655.93,909.67,216.73,1084.3201,2161.63
"9","North America","",2008,20.699999,73.41,0.93,59.71,687.48,911.36005,193.28,1070.3,2115.04
"10","North America","",2009,20.84,74,1.05,81.71,685.38,898.81,182.98999,1121.07,1876.3301
"11","North America","",2010,21.12,77.600006,1.54,105.340004,666.7,902.87994,170.6,1201.97,1972.62
"12","North America","",2011,21.539999,77.57,2.5,133.04001,748.17,893.23004,168.59,1245.5901,1854.87
"13","North America","",2012,22.04,79.5,5.49,157.46,708.47,872.3,170.35,1462.96,1625.55
"14","North America","",2013,22.84,84.090004,11.0199995,185.29999,708.29004,903.54004,161.31,1373.3099,1691.94
"15","North America","",2014,23.199999,85.71001,31.710001,203.81999,698.32,913.38995,146.55,1389.08,1694.1499
"16","North America","",2015,23.09,87.01,43.289997,230.5,681.18,909.86,147.45,1610.94,1460.8201
"17","North America","",2016,23.24,88.05,60.94,272.54,702.31,916.98,143.86,1659.2401,1349.2001
"18","North America","",2017,22.990002,87.979996,84.24,300.63,750.4,916.43,139.31,1578.3099,1308.33
"19","North America","",2018,22.720001,86.8,102.97,324.16,734.67004,920.66003,140.87,1779.2899,1241.16
"20","North America","",2019,22.37,83.28,124.4,351.39,711.76,921.08997,135.46,1895.56,1059.3301
"21","North America","",2020,22.869999,78.61,154.9,398.85,722.51,898.57,121.24,1920.36,841.69
"22","North America","",2021,22.87,77.4,194.49,439.92,695.04,883.55005,120.520004,1879.97,960.45
"23","North America","",2022,22.64,74.05,235,497.75,715.5,869.02997,123.810005,1992.0599,902.25
