"","Entity","Code","Year","Coal.....electricity","Gas.....electricity","Hydro.....electricity","Solar.....electricity","Wind.....electricity","Oil.....electricity","Nuclear.....electricity","Other.renewables.excluding.bioenergy.....electricity","Bioenergy.....electricity"
"1","World","OWID_WRL",1985,37.915844,14.4277,20.02054,0.000118828626,0.0006496033,11.235587,15.060812,NA,NA
"2","World","OWID_WRL",1986,37.708363,14.072499,19.704493,0.00014914204,0.0013636596,11.475273,15.6641655,NA,NA
"3","World","OWID_WRL",1987,38.030346,14.212001,19.054102,9.93665e-05,0.0018309773,11.088151,16.257086,NA,NA
"4","World","OWID_WRL",1988,37.705906,13.832076,18.835106,9.1520524e-05,0.002976312,11.278762,16.976147,NA,NA
"5","World","OWID_WRL",1989,37.54501,14.827242,17.906967,0.0022493065,0.022729335,11.581787,16.683971,NA,NA
"6","World","OWID_WRL",1990,37.288803,14.954249,18.046627,0.0032467088,0.03036842,11.420312,16.725513,NA,NA
"7","World","OWID_WRL",1991,37.284393,14.842746,18.06955,0.0041343826,0.03343116,11.056528,17.151306,NA,NA
"8","World","OWID_WRL",1992,37.691986,14.821489,17.90089,0.0037829634,0.03836481,10.7782755,17.121964,NA,NA
"9","World","OWID_WRL",1993,37.522438,14.781364,18.582108,0.004418125,0.045271687,10.067416,17.341183,NA,NA
"10","World","OWID_WRL",1994,37.851307,14.88553,18.22961,0.004619357,0.055184178,10.087932,17.224264,NA,NA
"11","World","OWID_WRL",1995,37.653526,15.206271,18.557951,0.004774266,0.06181622,9.4286995,17.355885,NA,NA
"12","World","OWID_WRL",1996,38.265278,15.221654,18.241636,0.0050679524,0.06679381,9.040908,17.442917,NA,NA
"13","World","OWID_WRL",1997,38.18961,16.069117,18.128954,0.0053059687,0.08513419,8.813503,16.916573,NA,NA
"14","World","OWID_WRL",1998,37.979668,16.593304,17.786108,0.005594753,0.10977405,8.927582,16.754206,NA,NA
"15","World","OWID_WRL",1999,37.723404,17.420424,17.422173,0.006065093,0.14221235,8.494163,16.90789,NA,NA
"16","World","OWID_WRL",2000,38.026806,17.968824,17.209444,0.006742179,0.20383637,8.664486,16.629356,0.28572437,1.004781
"17","World","OWID_WRL",2001,38.01192,18.802212,16.546638,0.008839051,0.24626757,8.286837,16.859814,0.28484973,0.9526174
"18","World","OWID_WRL",2002,38.29358,19.343,16.2782,0.010654863,0.325316,7.9186816,16.541706,0.28556278,1.0033017
"19","World","OWID_WRL",2003,39.552887,19.577305,15.713736,0.012630363,0.37999353,7.7884836,15.6439085,0.28033394,1.0507259
"20","World","OWID_WRL",2004,39.043266,20.122253,16.09252,0.015965257,0.49073067,7.2467337,15.617295,0.27715227,1.0940796
"21","World","OWID_WRL",2005,39.53355,20.293776,16.056704,0.021783728,0.57558674,7.0477247,15.038879,0.26796743,1.1640232
"22","World","OWID_WRL",2006,40.17415,20.710358,16.019814,0.028771466,0.706865,6.235073,14.659592,0.26955995,1.1958207
"23","World","OWID_WRL",2007,40.852367,21.410551,15.537066,0.036982268,0.8680433,6.061388,13.714841,0.26795655,1.2508022
"24","World","OWID_WRL",2008,40.177135,21.700766,16.147501,0.058955546,1.0985135,5.8191857,13.40664,0.28159356,1.3097086
"25","World","OWID_WRL",2009,39.878094,21.980803,16.253923,0.099391215,1.3851084,5.3650694,13.322836,0.29421204,1.4205623
"26","World","OWID_WRL",2010,39.78607,22.652725,16.123486,0.15143485,1.626843,5.028389,12.819806,0.28085992,1.5303855
"27","World","OWID_WRL",2011,40.59301,22.153582,15.887131,0.2895649,2.003363,5.3526697,11.888375,0.27817908,1.5541228
"28","World","OWID_WRL",2012,39.807,22.970762,16.25962,0.43076342,2.3502564,5.4518065,10.802262,0.2790924,1.6484395
"29","World","OWID_WRL",2013,40.711384,21.912132,16.373466,0.56988895,2.7382393,5.097517,10.574298,0.27781868,1.7452524
"30","World","OWID_WRL",2014,40.452778,22.051065,16.310715,0.83260983,2.9727464,4.719399,10.521225,0.29280716,1.8466556
"31","World","OWID_WRL",2015,38.66263,23.13592,16.17943,1.0664095,3.455708,4.658918,10.55133,0.30450988,1.9851462
"32","World","OWID_WRL",2016,37.84229,23.677217,16.270916,1.3303853,3.8925054,4.3010564,10.424819,0.30771065,1.9531051
"33","World","OWID_WRL",2017,37.90396,23.45461,15.974633,1.7532078,4.4835386,3.8871162,10.212237,0.31027648,2.0204186
"34","World","OWID_WRL",2018,37.910965,23.473637,15.827299,2.178499,4.8026447,3.365817,10.070898,0.3105323,2.0597103
"35","World","OWID_WRL",2019,36.614044,23.792929,15.785342,2.6353664,5.3034544,3.1183848,10.287461,0.3110055,2.1520116
"36","World","OWID_WRL",2020,35.331097,23.75634,16.297426,3.2015598,5.967701,2.9000382,9.9358015,0.32425654,2.285778
"37","World","OWID_WRL",2021,36.055565,23.049229,15.179581,3.747549,6.5654163,2.9491072,9.805651,0.30972797,2.338171
"38","World","OWID_WRL",2022,35.669353,22.81845,14.900204,4.5879316,7.2755384,2.9443722,9.151732,0.30953246,2.3428848
"39","World","OWID_WRL",2023,35.509724,22.466564,14.284754,5.5290112,7.8172126,2.6749504,9.110673,0.30465704,2.3024485
