day_month,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
2024-01-01,,7.558438,6.31,6.890625,7.645938,6.79875,7.604688,7.160937,8.121875,7.387188,,7.68125,7.066875,7.55625,7.0325,6.8775,7.004375,7.79125,8.174375,6.511875,6.759375,7.0475,7.54,7.059375,7.569375,7.958125,7.786875,7.3025,6.64125,7.1025,9.67125,8.42,8.0075,7.52625,8.1625,7.44875,9.09125,9.808125,7.5475,5.9,6.898125,5.73,6.681875,7.235,6.28625,5.313125,6.733125
2024-01-02,,7.435625,6.257812,6.51375,7.47625,6.623438,7.465,6.795,7.980625,7.231875,,7.410625,6.92875,7.334375,6.85,6.67125,6.925,7.60625,8.036875,6.34625,6.534375,6.879375,7.276875,6.831875,7.37625,7.84875,7.599375,7.140625,6.414375,6.904375,9.49375,8.2525,7.659375,7.306875,7.956875,7.3825,8.963125,9.72375,7.321875,5.8025,6.73875,5.569375,6.563125,7.11,6.080625,5.175,6.625
2024-01-03,,7.356562,6.205625,6.136875,7.2875,6.448125,7.223437,6.584687,7.839375,,,7.126875,6.79875,7.145,6.669375,6.4575,6.815,7.441875,7.95625,6.179375,6.344375,6.78375,7.01625,6.69125,7.115,7.716875,7.43625,6.98125,6.255,6.7775,9.324375,8.14,7.35375,7.08125,7.7975,7.25875,8.77875,9.525625,7.15125,5.730625,6.559375,5.41625,6.479375,6.95125,5.924375,5.021875,6.454375
2024-01-04,,7.2775,6.091016,5.98625,7.09875,6.330938,6.981875,6.374375,7.734062,,,6.880625,6.698125,7.0325,6.516875,6.198125,6.605625,7.37125,7.876875,5.9675,6.200625,6.725,6.79375,6.56375,6.859375,7.586875,7.270625,6.79875,6.05,6.715,9.196875,7.96125,7.079375,6.89125,7.645625,7.135625,8.5525,9.408125,6.959375,5.63,6.3825,5.33625,6.3775,6.7425,5.6525,4.836875,6.270938
2024-01-05,,7.1375,5.976406,5.835625,6.9225,6.21375,6.820625,6.168125,7.62875,,,6.636875,6.61125,6.8525,6.356875,6.119375,6.486875,7.319375,7.733125,5.800625,6.0025,6.593125,6.541875,6.476875,6.67875,7.429375,7.11375,6.57625,5.84625,6.5625,8.875625,7.841875,6.8125,6.774375,7.4775,7.02,8.34125,9.29625,6.739375,5.52125,6.265,5.19125,6.26375,6.61,5.484375,4.7425,6.0875
2024-01-06,,6.9975,5.861797,5.679688,6.74625,6.094062,6.659375,5.961875,7.386562,,,6.356875,6.446875,6.731875,6.151875,6.0475,6.41125,7.1325,7.619375,5.678125,5.84,6.476875,6.37375,6.35375,6.55625,7.29625,6.96375,6.4125,5.630625,6.329375,8.659375,7.73375,6.586875,6.6225,7.311875,6.901875,8.08625,9.120625,6.55125,5.43125,6.11,5.03,6.136875,6.5,5.361875,4.63875,5.98125
2024-01-07,,6.86,5.747187,5.52375,6.657812,5.974375,6.516875,5.816875,7.144375,,,6.1325,6.28375,6.61,5.92875,5.95,6.28625,6.995,7.51625,5.475,5.675,6.3375,6.228125,6.25625,6.33625,7.1575,6.86625,6.264375,5.48625,6.184375,8.403125,7.595625,6.409375,6.385625,7.11125,6.806875,7.93375,8.951875,6.385625,5.344375,5.82625,4.86125,6.021875,6.3275,5.20625,4.44125,5.79875
2024-01-08,,6.7225,5.632578,5.340312,6.569375,5.857187,6.374375,5.671875,6.866875,,,5.97125,6.101875,6.51625,5.8275,5.871875,6.2025,6.79375,7.445625,5.256875,5.389375,6.17625,6.023125,6.12875,6.11875,7.0375,6.723125,6.1025,5.33125,6.07875,8.176875,7.4175,6.229375,6.275625,6.99625,6.67,7.768125,8.760625,6.160625,5.250625,5.686875,4.733125,5.870625,6.206875,5.00875,4.299375,5.62125
2024-01-09,,6.654062,5.517969,5.156875,6.409688,5.74,6.190312,5.47375,6.589375,,,5.754375,6.005,6.408125,5.66875,5.71125,6.100625,6.6375,7.3275,5.101875,5.1675,6.024375,5.829375,6.06375,5.92875,6.9375,6.5475,5.96125,5.153125,5.9725,7.959375,7.2875,6.044375,6.07,6.87625,6.518125,7.641875,8.58375,5.90375,5.07875,5.504375,4.634375,5.66,6.080625,4.954375,4.260625,5.425625
2024-01-10,,6.585625,5.403359,5.05875,6.25,5.566875,6.00625,5.275625,6.47125,,,5.65375,5.911875,6.294375,5.503125,5.571875,5.981875,6.489375,7.126875,4.955625,5.08875,5.919375,5.66125,5.985,5.746875,6.788125,6.396875,5.86,5.021875,5.825,7.811875,7.145625,5.84875,5.838125,6.743125,6.425625,7.505,8.41375,5.74125,4.8275,5.338125,4.491875,5.53875,5.923125,4.8825,4.160625,5.21625
2024-01-11,,6.426562,5.28875,4.960625,6.102187,5.39375,5.8875,5.002188,6.353125,,,5.51125,5.790625,6.18875,5.37625,5.51125,5.84,6.359375,6.924375,4.850625,5.01,5.70375,5.5375,5.898125,5.641875,6.621875,6.233125,5.7675,4.92375,5.639375,7.678125,7.04375,5.634375,5.6,6.6325,6.325,7.389375,8.288125,5.6175,4.5875,5.17625,4.381875,5.353125,5.74375,4.798125,4.09625,5.089375
2024-01-12,,6.2675,5.173125,4.844375,5.954375,5.314375,5.76875,4.72875,6.118438,,,5.3775,5.693125,6.096875,5.26,5.32125,5.684375,6.308125,6.76625,4.724375,4.939375,5.520625,5.37625,5.793125,5.44,6.446875,6.120625,5.529375,4.806875,5.52125,7.505625,6.926875,5.471875,5.40375,6.525,6.1775,7.2525,8.15375,5.443125,4.465625,4.985625,4.28625,5.21,5.576875,4.720625,4.001875,4.94625
2024-01-13,,6.119687,5.0575,4.728125,5.85375,5.235,5.62875,4.73125,5.88375,,4.856875,5.346875,5.583125,5.904375,5.10875,5.199375,5.543125,6.210625,6.676875,4.611875,4.855625,5.390625,5.289375,5.693125,5.319375,6.32375,6.04625,5.226875,4.6775,5.430625,7.17125,6.793125,5.30875,5.285,6.398125,6.068125,7.07375,7.974375,5.19,4.2875,4.771875,4.2125,5.05,5.481875,4.646875,3.90875,4.679375
2024-01-14,,5.971875,4.981562,4.580625,5.753125,5.121875,5.48875,4.73375,5.721875,,4.875625,5.1925,5.42125,5.795,5.04,5.03625,5.444375,6.123125,6.586875,4.50875,4.769375,5.20625,5.218125,5.600625,5.241875,6.209375,6.01375,5.0375,4.5075,5.29375,6.928125,6.603125,5.179375,5.020625,6.245,5.966875,6.903125,7.85625,5.001875,4.065625,4.63375,4.120625,4.984375,5.35,4.465625,3.835,4.545
2024-01-15,,5.896562,4.905625,4.433125,5.69875,5.00875,5.313125,4.61125,5.56,,4.773125,5.038125,5.270625,5.6375,4.91125,4.885,5.388125,6.036875,6.4475,4.429375,4.64625,5.048125,5.1375,5.524375,5.020625,6.136875,5.936875,4.87625,4.39125,5.16,6.811875,6.40125,5.096875,4.745,6.090625,5.8575,6.66,7.724375,4.856875,3.933125,4.5625,4.061875,4.88,5.239375,4.331875,3.715625,4.396875
2024-01-16,,5.82125,4.860312,4.40125,5.644375,4.9325,5.1375,4.48875,5.44875,5.299375,4.620625,4.94625,5.104375,5.554375,4.790625,4.759375,5.295,5.94125,6.305625,4.276875,4.53125,4.958125,5.04625,5.481875,4.851875,6.034375,5.81125,4.726875,4.303125,4.97625,6.6825,6.2275,5.019375,4.554375,5.926875,5.765,6.524375,7.580625,4.714375,3.88125,4.460625,4.020625,4.7525,5.106875,4.25,3.691875,4.2025
