day_month,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
2024-01-01,,14.888437,14.366875,14.3725,14.559062,14.338125,14.039688,14.054062,14.11875,14.236875,,14.2575,14.10375,13.503125,14.0125,14.114375,13.959375,14.145,13.64,13.671875,13.920625,13.83,13.45125,13.44625,13.556875,13.68,13.529375,13.11,13.21125,13.19875,13.109375,13.155625,13.169375,12.955625,13.4475,12.996875,13.058125,13.07375,12.90375,12.679375,12.591875,13.009375,13.034375,12.728125,13.345625,12.801875,13.30125,12.54
2024-01-02,,14.9375,14.386562,14.423125,14.64875,14.403437,14.1075,14.19875,14.240938,14.316875,,14.27875,14.08125,13.623125,14.0825,14.195,13.973125,14.188125,13.7075,13.786875,14.00125,13.83875,13.51625,13.400625,13.5475,13.7425,13.54375,13.1325,13.255,13.2525,13.1625,13.19375,13.155,12.974375,13.415,13.065,13.07875,13.085,12.880625,12.81125,12.705625,13.10875,13.09875,12.789375,13.38,12.841875,13.358125,12.523125
2024-01-03,,14.994375,14.40625,14.47375,14.727188,14.46875,14.154688,14.259062,14.363125,,,14.345625,14.13125,13.664375,14.1475,14.160625,13.991875,14.25,13.684375,13.866875,14.0475,13.80875,13.60125,13.37875,13.54375,13.8325,13.593125,13.16875,13.361875,13.2825,13.230625,13.255625,13.21875,13.00875,13.384375,13.08625,13.096875,13.081875,12.90625,12.909375,12.7725,13.183125,13.163125,12.864375,13.414375,12.899375,13.449375,
2024-01-04,,15.05125,14.449766,14.5875,14.805625,14.54625,14.201875,14.319375,14.329375,,,14.314375,14.219375,13.6875,14.1575,14.10625,14.060625,14.2925,13.694375,13.9725,14.090625,13.835,13.640625,13.460625,13.58,13.9075,13.64875,13.275,13.35125,13.350625,13.288125,13.29625,13.249375,13.18,13.351875,13.100625,13.095,13.12375,12.906875,13.015,12.814375,13.246875,13.215,12.945,13.469375,12.984375,13.565312,
2024-01-05,,15.062812,14.493281,14.70125,14.86125,14.62375,14.244062,14.399687,14.295625,,,14.2425,14.2425,13.718125,14.239375,14.1075,14.120625,14.32,13.669375,14.140625,14.11375,13.875,13.72125,13.59,13.640625,14.035625,13.628125,13.32375,13.40625,13.38125,13.375,13.364375,13.31625,13.194375,13.41875,13.226875,13.149375,13.205,13.05875,12.96375,12.79625,13.28,13.20375,13.023125,13.55125,13.03,13.68125,
2024-01-06,,15.074375,14.536797,14.75875,14.916875,14.63625,14.28625,14.48,14.3225,,,14.26375,14.329375,13.789375,14.246875,14.16625,14.1325,14.294375,13.7,14.18125,14.131875,14.005625,13.689375,13.678125,13.749375,14.078125,13.61625,13.323125,13.348125,13.394375,13.42,13.476875,13.411875,13.1225,13.515625,13.275,13.250625,13.189375,13.195625,12.914375,12.806875,13.2775,13.238125,13.09125,13.59125,13.120625,13.788125,
2024-01-07,,15.052187,14.580312,14.81625,14.983125,14.64875,14.310312,14.499062,14.349375,,,14.3975,14.429375,13.800625,14.323125,14.28125,14.17875,14.2875,13.786875,14.2075,14.208125,14.1675,13.67625,13.76125,13.84625,14.13,13.628125,13.334375,13.3175,13.381875,13.475625,13.61375,13.454375,13.166875,13.601875,13.32625,13.303125,13.154375,13.208125,12.898125,12.761875,13.25125,13.285625,13.1675,13.628125,13.181875,13.791875,
2024-01-08,,15.03,14.623828,14.704375,15.049375,14.640938,14.334375,14.518125,14.393438,,,14.546875,14.470625,13.8175,14.43125,14.30125,14.221875,14.294375,13.79875,14.203125,14.405,14.145625,13.673125,13.905625,13.90375,14.07875,13.6625,13.3325,13.3425,13.330625,13.509375,13.65875,13.45875,13.176875,13.71875,13.370625,13.23375,13.148125,13.30625,12.94125,12.824375,13.343125,13.260625,13.1625,13.645625,13.254375,13.7375,
2024-01-09,,15.121562,14.667344,14.5925,15.025938,14.633125,14.356562,14.5375,14.4375,,,14.639375,14.514375,13.943125,14.45,14.325625,14.314375,14.298125,13.789375,14.130625,14.361875,14.134375,13.826875,14.02,13.919375,14.064375,13.72375,13.390625,13.435625,13.285,13.535,13.755,13.478125,13.18375,13.78875,13.430625,13.331875,13.21875,13.37,12.95,12.93,13.42875,13.22875,13.221875,13.68125,13.240625,13.79375,
2024-01-10,,15.213125,14.710859,14.680938,15.0025,14.684375,14.37875,14.556875,14.579375,,,14.626875,14.55625,14.034375,14.480625,14.33,14.39,14.258125,13.831875,14.105,14.3775,14.205625,13.994375,14.05125,13.935625,14.111875,13.829375,13.444375,13.4425,13.239375,13.58,13.7525,13.56375,13.224375,13.863125,13.605625,13.45125,13.193125,13.455,12.9425,12.893125,13.4,13.255625,13.2925,13.673125,13.263125,13.805,
