"","Entity","Code","Year","Other.renewables.excluding.bioenergy...TWh..adapted.for.visualization.of.chart.electricity.prod.source.stacked.","Electricity.from.bioenergy...TWh..adapted.for.visualization.of.chart.electricity.prod.source.stacked.","Electricity.from.solar...TWh..adapted.for.visualization.of.chart.electricity.prod.source.stacked.","Electricity.from.wind...TWh..adapted.for.visualization.of.chart.electricity.prod.source.stacked.","Electricity.from.hydro...TWh..adapted.for.visualization.of.chart.electricity.prod.source.stacked.","Electricity.from.nuclear...TWh..adapted.for.visualization.of.chart.electricity.prod.source.stacked.","Electricity.from.oil...TWh..adapted.for.visualization.of.chart.electricity.prod.source.stacked.","Electricity.from.gas...TWh..adapted.for.visualization.of.chart.electricity.prod.source.stacked.","Electricity.from.coal...TWh..adapted.for.visualization.of.chart.electricity.prod.source.stacked."
"1","Asia","",1985,0,0,0,0,343.2243,215.21469,464.65988,345.53317,654.89886
"2","Asia","",1986,0,0,0,0,345.8456,228.92136,467.63907,369.96634,724.5383
"3","Asia","",1987,0,0,0,0,358.31586,271.00443,485.15262,397.68027,804.49884
"4","Asia","",1988,0,0,0,0,411.7108,255.73271,530.0748,423.47736,860.65796
"5","Asia","",1989,0,0,0,0,421.20438,266.97534,562.54645,467.8778,936.6007
"6","Asia","",1990,0,0,0.004,0.033323232,444.1334,287.1385,629.37225,507.5201,986.3229
"7","Asia","",1991,0,0,0.004,0.12300091,449.0279,306.6671,629.97925,528.66846,1087.4814
"8","Asia","",1992,0,0,0.015500001,0.22078313,452.2898,314.83002,654.1229,555.71643,1195.226
"9","Asia","",1993,0,0,0.028500002,0.3098508,502.6904,348.87616,633.70154,576.40314,1260.7712
"10","Asia","",1994,0,0,0.036,0.578078,498.7056,372.4386,683.1619,617.8866,1401.2367
"11","Asia","",1995,0,0,0.049510103,1.1145912,538.362,410.58524,674.91113,660.85394,1505.5715
"12","Asia","",1996,0,0,0.0725606,0.9768788,534.7571,433.6919,667.79663,706.72473,1636.3644
"13","Asia","",1997,0,0,0.116365455,1.1958565,532.8737,461.36017,650.88885,796.844,1721.9974
"14","Asia","",1998,0,0,0.16731885,1.4579804,564.6518,480.07062,627.0133,836.6664,1781.3875
"15","Asia","",1999,0,0,0.24566661,2.029756,550.01306,488.14017,635.81934,902.73474,1922.8899
"16","Asia","",2000,17.01,27.54,0.38,2.37,564.26,501.31,655.61,931.16003,2106.82
"17","Asia","",2001,16.49,28.79,0.55,3.1799998,609.76,508.49002,596.46,1005.00995,2248.81
"18","Asia","",2002,16.71,30.26,0.76,3.4599998,634.35,521.28,617.57,1067.54,2454.56
"19","Asia","",2003,15.83,34.010002,1.04,4.5699997,661.85,463.75,627.4,1163.31,2767.16
"20","Asia","",2004,16.66,35.9,1.38,8.15,772.88,531.93,621.45,1239.53,3020.03
"21","Asia","",2005,16.59,43.18,1.75,10.23,810.7,555.52,628.41,1303.3301,3349.69
"22","Asia","",2006,17.22,46.2,2.19,16.02,888.15,570.35004,604.54004,1395.8099,3714.5999
"23","Asia","",2007,17.400002,53.52,2.62,21.29,927.4,547.11,629.54,1508.06,4157.84
"24","Asia","",2008,19.19,60.140003,3.1599998,32.57,1057.9701,531.16003,622.02997,1581.37,4282.75
"25","Asia","",2009,20.06,67.53,4.11,50.61,1027.77,555.79,548.27,1650.4299,4525.82
"26","Asia","",2010,19.96,78.67,5.85,77.909996,1188.41,585.25995,568.57996,1832.15,4923.33
"27","Asia","",2011,20.02,85.77,10.299999,110.04,1195.64,485.5,675.05,1889.39,5457.24
"28","Asia","",2012,20.59,94.299995,15.5199995,143.98001,1374.1799,349.04,712.1,2027.82,5679.55
"29","Asia","",2013,20.390001,107.53,29.17,185.15999,1461.63,350.66,687.57,2049.72,6108.3003
"30","Asia","",2014,22.730001,123.44,59.28,211.45999,1598.0999,377.63,627.39996,2219.09,6371.1904
"31","Asia","",2015,24.52,145.02,91.23,241.04999,1666.19,425.84003,613.44,2268.67,6291.77
"32","Asia","",2016,26.55,145.04001,138.09999,312.65,1725.4701,476.51,585.55,2397.23,6524.62
"33","Asia","",2017,29.460001,170.18,217.58,391.47,1769.8201,502.94,544.06,2530.98,6909.9297
"34","Asia","",2018,31.68,195.67,310.09998,466.09998,1811.7001,562.43,468.99997,2588.04,7401.15
"35","Asia","",2019,33.03,223.63,392.28,513.94995,1936.56,655.24,448.53998,2544.51,7527.87
"36","Asia","",2020,35.65,250.88,469.26,578.32,1981.13,665.58,425.54,2585.49,7500
"37","Asia","",2021,36.7,293.66998,592.37,785.43994,1949.58,730.12,454.18,2696.56,8059.2104
"38","Asia","",2022,38.4,327.63,741.39,905.64,1989.02,767.14,456.95,2738.49,8252
