"","Entity","Code","Year","Other.renewables.excluding.bioenergy...TWh..adapted.for.visualization.of.chart.electricity.prod.source.stacked.","Electricity.from.bioenergy...TWh..adapted.for.visualization.of.chart.electricity.prod.source.stacked.","Electricity.from.solar...TWh..adapted.for.visualization.of.chart.electricity.prod.source.stacked.","Electricity.from.wind...TWh..adapted.for.visualization.of.chart.electricity.prod.source.stacked.","Electricity.from.hydro...TWh..adapted.for.visualization.of.chart.electricity.prod.source.stacked.","Electricity.from.nuclear...TWh..adapted.for.visualization.of.chart.electricity.prod.source.stacked.","Electricity.from.oil...TWh..adapted.for.visualization.of.chart.electricity.prod.source.stacked.","Electricity.from.gas...TWh..adapted.for.visualization.of.chart.electricity.prod.source.stacked.","Electricity.from.coal...TWh..adapted.for.visualization.of.chart.electricity.prod.source.stacked."
"1","Oceania","",2000,2.76,1.87,0.05,0.26,42.59,0,7.45,26.71,181.43
"2","Oceania","",2001,2.68,1.6500001,0.05,0.44,39.47,0,8.44,37.24,181.63
"3","Oceania","",2002,2.65,1.98,0.06,0.69,42.59,0,8.96,41.28,173.64
"4","Oceania","",2003,2.6399999,2.3700001,0.06,0.85,41.379997,0,10.16,40.4,177.07
"5","Oceania","",2004,2.68,3.59,0.07,1.1700001,44.469997,0,10.46,34.81,183.27
"6","Oceania","",2005,3.28,4.68,0.08,1.93,40.35,0,10.7699995,33.08,188.4
"7","Oceania","",2006,3.48,4.8,0.1,2.81,40.010002,0,10.71,37.440002,190.82999
"8","Oceania","",2007,3.75,5.11,0.11,3.82,38.47,0,10.54,45.730003,188.21
"9","Oceania","",2008,4.37,4.48,0.14,4.56,36,0,12.31,47.440002,188.59001
"10","Oceania","",2009,4.9900002,3.59,0.29,5.95,38.59,0,13.09,50.55,184.96
"11","Oceania","",2010,5.9300003,3.25,0.98,6.67,40.07,0,12.91,57.2,177.98001
"12","Oceania","",2011,6.17,3.37,2.05,8.42,46.48,0,11.63,57.719997,174.17
"13","Oceania","",2012,6.25,3.94,2.42,9.849999,41.84,0,12.03,59.120003,168.87001
"14","Oceania","",2013,6.4700003,4.19,3.8799999,11.320001,44.039997,0,13.03,61.86,157.84
"15","Oceania","",2014,7.27,4.41,5,12.04,40.45,0,13.940001,61.28,157.34
"16","Oceania","",2015,7.81,4.56,6.3199997,14.25,40.31,0,14.2,57.19,164.25
"17","Oceania","",2016,7.94,4.48,7.64,15.42,45.219997,0,14.0199995,54.65,163.93001
"18","Oceania","",2017,7.98,4.39,9.18,15.33,40.28,0,13.15,62.94,161.09
"19","Oceania","",2018,7.92,4.4,12.66,18.36,45.2,0,13.03,58,158.97
"20","Oceania","",2019,7.9900002,4.32,18.72,21.759998,41.29,0,12.89,61.739998,152.94
"21","Oceania","",2020,8.23,4.2400002,24.32,24.94,40.26,0,11.97,59.879997,146.15999
"22","Oceania","",2021,8.37,5.11,31.78,29.48,41.739998,0,12.63,53.14,141.14
"23","Oceania","",2022,8.22,4.87,39.449997,34.6,44.79,0,13.11,51.280003,133.20999
