"","Entity","Code","Year","Other.renewables.excluding.bioenergy...TWh..adapted.for.visualization.of.chart.electricity.prod.source.stacked.","Electricity.from.bioenergy...TWh..adapted.for.visualization.of.chart.electricity.prod.source.stacked.","Electricity.from.solar...TWh..adapted.for.visualization.of.chart.electricity.prod.source.stacked.","Electricity.from.wind...TWh..adapted.for.visualization.of.chart.electricity.prod.source.stacked.","Electricity.from.hydro...TWh..adapted.for.visualization.of.chart.electricity.prod.source.stacked.","Electricity.from.nuclear...TWh..adapted.for.visualization.of.chart.electricity.prod.source.stacked.","Electricity.from.oil...TWh..adapted.for.visualization.of.chart.electricity.prod.source.stacked.","Electricity.from.gas...TWh..adapted.for.visualization.of.chart.electricity.prod.source.stacked.","Electricity.from.coal...TWh..adapted.for.visualization.of.chart.electricity.prod.source.stacked."
"1","South America","",1985,0,0,0,0,273.90704,9.146999,24.533861,36.266487,10.415946
"2","South America","",1986,0,0,0,0,294.62888,5.855,32.27183,37.802803,11.856964
"3","South America","",1987,0,0,0,0,314.6132,7.438,31.556885,36.17948,11.019981
"4","South America","",1988,0,0,0,0,326.4447,6.4059997,30.646502,46.001266,12.58366
"5","South America","",1989,0,0,0,0,334.9196,6.869,30.475191,45.935104,15.248713
"6","South America","",1990,0,0,0,0,347.90448,9.518,24.811478,43.401443,15.523214
"7","South America","",1991,0,0,0,0,372.47708,9.198,24.48287,45.895447,14.513014
"8","South America","",1992,0,0,0,0,380.07532,8.84,27.7718,46.69238,13.109361
"9","South America","",1993,0,0,0,0,409.5474,8.192,25.153893,50.128357,13.704916
"10","South America","",1994,0,0,0,0,435.20428,8.29,21.367262,50.99539,15.552329
"11","South America","",1995,0,0,0,0,451.17233,9.585,24.15708,59.335335,18.014643
"12","South America","",1996,0,0,0,0.012018,467.49365,9.886,27.135254,66.25554,19.334694
"13","South America","",1997,0,0,0,0.019192,494.85278,11.13,27.178102,69.14352,21.641674
"14","South America","",1998,0,0,1.7e-05,0.038041,506.0408,10.718,31.819592,77.82769,22.798157
"15","South America","",1999,0,0,2.6e-05,0.037381,504.7165,11.083,38.72316,84.3528,27.035973
"16","South America","",2000,0,9.01,0.01,0.03,533.41,12.23,35.59,88.29,24.06
"17","South America","",2001,0,10.14,0.01,0.08,499.79,21.34,36.36,96.97,20.72
"18","South America","",2002,0,11.58,0.01,0.13,524.1,19.66,36.81,96.21,19.300001
"19","South America","",2003,0,13.62,0.01,0.14,546.6,20.93,36.17,104.5,19.67
"20","South America","",2004,0,14.120001,0.01,0.18,566.76,19.48,41.54,120.87,23.73
"21","South America","",2005,0,15.54,0.01,0.21000001,599.66,16.720001,45.129997,118.01,24.44
"22","South America","",2006,0,16.9,0.01,0.36999997,626.39,21.47,47.49,118.630005,27.73
"23","South America","",2007,0,20.300001,0.01,0.77000004,648.48,19.6,62.879997,119.39,30.89
"24","South America","",2008,0,22.960001,0.01,1.3,651.13,21.36,75.26,135.8,32.49
"25","South America","",2009,0,25.99,0.01,1.4499999,668.82,21.14,71.05,125.19,31.93
"26","South America","",2010,0,37.63,0.01,2.64,669.55,21.73,74.82,161.43,36.69
"27","South America","",2011,0,37.95,0.049999997,3.21,712.83,22.06,76.03,149.28,39.57
"28","South America","",2012,0,41.29,0.13,6.03,696.65,22.44,81.43,194.04001,48.100002
"29","South America","",2013,0,46.3,0.28,7.9399996,682.33,21.66,86.9,229.31,62.66
"30","South America","",2014,0,53.480003,0.79,15.51,642.7,20.89,94.130005,244.02,63.59
"31","South America","",2015,0,56.55,1.84,27.269999,642.93,21.77,94.04,251.1,64.94
"32","South America","",2016,0,57.86,3.1799998,40.61,655.91003,24.14,76.33,237.54,66.72
"33","South America","",2017,0.06,59.59,5.45,51.6,665.31,21.83,62.65,234.94,58.16
"34","South America","",2018,0.21,60.98,10.45,60.420002,681.9,22.54,54.17,227.09,56.79
"35","South America","",2019,0.2,61.89,15.48,72.53,667.11,24.569998,46.52,235.51999,59.54
"36","South America","",2020,0.25,67.25,21.63,79.54,661.27,24.060001,42.3,215.1,55.899998
"37","South America","",2021,0.33,64.48,31.83,99.6,633.45,24.869999,59.05,245.72,58.940002
"38","South America","",2022,0.46,61.71,49.66,111.85999,707.12,22.029999,51.53,198.65,42.309998
